Cost,Year,Make,Model,Mileage,Fuel Type,Image URL
57979,2023,Chevrolet,Silverado,141574,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Silverado.jpg
35290,2024,BMW,X3,6448,Electric,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X3.jpg
60920,2024,Toyota,Rav4,48573,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Rav4.jpg
42677,2022,BMW,7 Series,111605,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_7 Series.jpg
75739,2010,Chevrolet,Malibu,136733,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Malibu.jpg
95268,2012,Chevrolet,Camaro,104492,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Camaro.jpg
54944,2015,Toyota,Camry,70302,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Camry.jpg
39353,2017,Volkswagen,Jetta,146865,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Jetta.jpg
27478,2020,Volkswagen,Atlas,125991,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Atlas.jpg
19302,2011,Honda,Pilot,125258,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Pilot.jpg
12904,2011,Nissan,Altima,101922,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Altima.jpg
55200,2019,Ford,F-150,70164,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Ford_F-150.jpg
89702,2024,Mercedes-Benz,E-Class,83780,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_E-Class.jpg
65205,2015,Audi,Q5,10139,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q5.jpg
95881,2012,Audi,Q7,142493,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q7.jpg
11869,2024,Audi,Q7,137851,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q7.jpg
24139,2020,BMW,X3,26357,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X3.jpg
19879,2014,BMW,7 Series,635,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/BMW_7 Series.jpg
75988,2012,Toyota,Highlander,55292,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Highlander.jpg
52156,2021,Audi,Q5,133781,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q5.jpg
12710,2023,Toyota,Camry,72916,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Camry.jpg
12752,2015,Ford,Escape,147032,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Escape.jpg
10060,2018,Nissan,Rogue,104667,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Rogue.jpg
26081,2016,BMW,X5,106209,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X5.jpg
45310,2016,Mercedes-Benz,GLE,19365,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_GLE.jpg
41204,2024,Mercedes-Benz,E-Class,81947,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_E-Class.jpg
82735,2014,Nissan,Altima,5544,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Altima.jpg
87448,2012,Chevrolet,Equinox,6893,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Equinox.jpg
84850,2013,Nissan,Rogue,44474,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Rogue.jpg
26456,2010,Honda,CR-V,7582,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Honda_CR-V.jpg
72108,2024,Volkswagen,Tiguan,56437,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Tiguan.jpg
52957,2012,Volkswagen,Passat,59356,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Passat.jpg
84169,2020,Honda,Accord,76502,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Accord.jpg
42084,2017,Honda,CR-V,102521,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Honda_CR-V.jpg
47970,2023,Honda,CR-V,68048,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Honda_CR-V.jpg
78194,2021,Toyota,Highlander,41843,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Highlander.jpg
71470,2013,Mercedes-Benz,S-Class,147814,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_S-Class.jpg
83551,2017,Audi,Q5,144067,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q5.jpg
62699,2020,Audi,A3,134686,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A3.jpg
83054,2020,Hyundai,Santa Fe,128028,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Santa Fe.jpg
79380,2023,Honda,CR-V,136225,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Honda_CR-V.jpg
13020,2018,Honda,Accord,123880,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Accord.jpg
71004,2016,Nissan,Altima,117461,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Altima.jpg
97256,2013,Nissan,Rogue,128095,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Rogue.jpg
46460,2022,Toyota,Camry,114003,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Camry.jpg
29238,2020,Volkswagen,Golf,43972,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Golf.jpg
70076,2023,Hyundai,Sonata,69903,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Sonata.jpg
26168,2016,Volkswagen,Atlas,11624,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Atlas.jpg
50801,2011,BMW,3 Series,19660,Electric,https://storage.googleapis.com/mtc-cloud101-cars/BMW_3 Series.jpg
82570,2020,Hyundai,Kona,725,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Kona.jpg
22472,2016,Audi,A4,74648,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A4.jpg
37969,2024,Nissan,Rogue,132578,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Rogue.jpg
19005,2022,Nissan,Altima,123364,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Altima.jpg
75920,2017,Mercedes-Benz,C-Class,143479,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_C-Class.jpg
45501,2016,Audi,A3,67935,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A3.jpg
84560,2020,Honda,Civic,132238,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Civic.jpg
75350,2016,Volkswagen,Passat,146284,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Passat.jpg
78169,2011,Chevrolet,Traverse,45817,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Traverse.jpg
29638,2010,Hyundai,Tucson,93012,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Tucson.jpg
27376,2016,Mercedes-Benz,GLC,11317,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_GLC.jpg
29376,2017,Audi,Q5,133609,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q5.jpg
75263,2019,Honda,CR-V,147709,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Honda_CR-V.jpg
43200,2023,Nissan,Sentra,11687,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Sentra.jpg
49183,2010,BMW,5 Series,190,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/BMW_5 Series.jpg
68644,2015,Volkswagen,Passat,7567,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Passat.jpg
57536,2022,Volkswagen,Passat,10434,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Passat.jpg
53822,2021,BMW,5 Series,114015,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/BMW_5 Series.jpg
58716,2016,Volkswagen,Atlas,15543,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Atlas.jpg
68846,2013,Toyota,Tacoma,25809,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Tacoma.jpg
11673,2017,Honda,Civic,33445,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Civic.jpg
76891,2015,Audi,A3,146260,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A3.jpg
19725,2022,BMW,X5,141041,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X5.jpg
97607,2024,Volkswagen,Jetta,10614,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Jetta.jpg
97301,2010,Audi,A4,100213,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A4.jpg
18953,2016,Honda,CR-V,33905,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Honda_CR-V.jpg
12782,2016,Honda,Accord,80819,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Accord.jpg
40549,2022,Ford,Escape,76192,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Escape.jpg
7615,2022,Ford,Escape,128694,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Escape.jpg
85500,2020,Nissan,Murano,133547,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Murano.jpg
46098,2015,BMW,7 Series,107116,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/BMW_7 Series.jpg
71542,2020,Audi,Q7,10128,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q7.jpg
99411,2018,Ford,Explorer,48302,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Explorer.jpg
34163,2020,Audi,Q7,2598,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q7.jpg
50029,2011,Toyota,Camry,104046,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Camry.jpg
60703,2024,Volkswagen,Jetta,22981,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Jetta.jpg
49707,2012,Toyota,Highlander,11623,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Highlander.jpg
26348,2021,Audi,Q7,93495,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q7.jpg
55420,2018,Nissan,Murano,2920,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Murano.jpg
56315,2018,Mercedes-Benz,S-Class,37103,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_S-Class.jpg
59125,2022,Chevrolet,Malibu,38547,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Malibu.jpg
83974,2014,Honda,Accord,139562,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Accord.jpg
27066,2017,Honda,Pilot,86625,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Pilot.jpg
77720,2018,Audi,A6,110123,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A6.jpg
85512,2018,Ford,Focus,25559,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Focus.jpg
56112,2023,Mercedes-Benz,GLE,52201,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_GLE.jpg
79766,2018,Ford,F-150,142246,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Ford_F-150.jpg
76709,2016,Mercedes-Benz,GLE,72452,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_GLE.jpg
23950,2013,Chevrolet,Malibu,15909,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Malibu.jpg
63398,2014,Honda,Odyssey,74139,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Odyssey.jpg
32571,2018,Audi,Q7,60923,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q7.jpg
74986,2012,Honda,Civic,128810,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Civic.jpg
69080,2013,Audi,A6,33440,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A6.jpg
95284,2021,Toyota,Camry,138121,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Camry.jpg
88845,2012,Toyota,Camry,42040,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Camry.jpg
41335,2016,Volkswagen,Golf,142868,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Golf.jpg
48793,2015,Hyundai,Kona,80917,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Kona.jpg
11288,2011,Ford,Mustang,2997,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Mustang.jpg
33112,2010,Chevrolet,Malibu,98052,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Malibu.jpg
71009,2015,Chevrolet,Silverado,60778,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Silverado.jpg
62396,2011,BMW,5 Series,147420,Electric,https://storage.googleapis.com/mtc-cloud101-cars/BMW_5 Series.jpg
30364,2019,Chevrolet,Traverse,56445,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Traverse.jpg
66742,2012,BMW,X5,81917,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X5.jpg
37147,2014,Ford,Escape,88276,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Escape.jpg
5426,2013,Ford,Escape,110074,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Escape.jpg
91747,2016,Volkswagen,Atlas,33709,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Atlas.jpg
89853,2024,Volkswagen,Golf,99583,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Golf.jpg
29325,2022,Volkswagen,Atlas,36395,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Atlas.jpg
40828,2014,Audi,A6,76711,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A6.jpg
67674,2010,Hyundai,Tucson,115711,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Tucson.jpg
14655,2019,Honda,CR-V,22696,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Honda_CR-V.jpg
41905,2019,Mercedes-Benz,C-Class,70435,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_C-Class.jpg
13154,2022,Audi,A4,124358,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A4.jpg
55331,2016,Volkswagen,Jetta,51052,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Jetta.jpg
88636,2011,Chevrolet,Equinox,115642,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Equinox.jpg
22497,2012,Nissan,Altima,26568,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Altima.jpg
94088,2017,Mercedes-Benz,GLC,9041,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_GLC.jpg
97890,2021,Hyundai,Tucson,76693,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Tucson.jpg
59876,2018,Volkswagen,Passat,33349,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Passat.jpg
6638,2014,Volkswagen,Golf,58104,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Golf.jpg
44144,2023,Ford,Escape,83084,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Escape.jpg
11214,2012,Ford,Mustang,113383,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Mustang.jpg
97574,2021,Nissan,Pathfinder,132963,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Pathfinder.jpg
50998,2010,Honda,Odyssey,112798,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Odyssey.jpg
28605,2014,Honda,Pilot,113119,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Pilot.jpg
44743,2014,Audi,A4,41936,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A4.jpg
98705,2018,BMW,3 Series,68479,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_3 Series.jpg
69979,2020,BMW,X3,21086,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X3.jpg
44030,2011,Hyundai,Sonata,74595,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Sonata.jpg
33249,2021,BMW,X5,21717,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X5.jpg
69212,2020,Hyundai,Sonata,7520,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Sonata.jpg
77836,2016,Volkswagen,Tiguan,19005,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Tiguan.jpg
63289,2010,Honda,Civic,56672,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Civic.jpg
55195,2012,Nissan,Rogue,126910,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Rogue.jpg
18095,2020,Chevrolet,Silverado,41446,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Silverado.jpg
45362,2017,Mercedes-Benz,E-Class,86047,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_E-Class.jpg
33231,2024,Chevrolet,Camaro,142588,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Camaro.jpg
59762,2019,Volkswagen,Passat,118793,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Passat.jpg
64053,2022,BMW,X5,18153,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_X5.jpg
61757,2020,Nissan,Sentra,54352,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Sentra.jpg
26776,2019,Honda,Pilot,84261,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Pilot.jpg
84800,2019,Mercedes-Benz,S-Class,113988,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Mercedes-Benz_S-Class.jpg
50038,2023,Audi,Q5,89760,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q5.jpg
69512,2015,Nissan,Rogue,126759,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Nissan_Rogue.jpg
82352,2010,Toyota,Camry,93716,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Camry.jpg
54723,2022,Honda,Pilot,103711,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Honda_Pilot.jpg
70333,2018,Volkswagen,Passat,30039,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Passat.jpg
38076,2023,Ford,Explorer,120294,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Explorer.jpg
9225,2015,Honda,CR-V,125393,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Honda_CR-V.jpg
28407,2013,Hyundai,Elantra,149766,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Hyundai_Elantra.jpg
7141,2022,Audi,A3,37245,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Audi_A3.jpg
32405,2023,Audi,Q7,97136,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q7.jpg
35702,2013,Volkswagen,Tiguan,22503,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Tiguan.jpg
88997,2013,Toyota,Corolla,119418,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Corolla.jpg
47314,2012,Ford,F-150,129193,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Ford_F-150.jpg
49467,2016,BMW,3 Series,124465,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/BMW_3 Series.jpg
13142,2017,Audi,Q5,101133,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Audi_Q5.jpg
65109,2012,Ford,Explorer,131440,Electric,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Explorer.jpg
8421,2013,Toyota,Corolla,12511,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Toyota_Corolla.jpg
52530,2010,Ford,Focus,19090,Gasoline,https://storage.googleapis.com/mtc-cloud101-cars/Ford_Focus.jpg
75207,2016,Chevrolet,Camaro,131263,Hybrid,https://storage.googleapis.com/mtc-cloud101-cars/Chevrolet_Camaro.jpg
54094,2011,Volkswagen,Golf,123669,Diesel,https://storage.googleapis.com/mtc-cloud101-cars/Volkswagen_Golf.jpg
